ID,Czas_przyjscia,Dlugosc_kolejki_w_momencie_przyjscia,Czas_rozpoczecia_badania,Czas_zakonczenia_badania,Czas_oczekiwania,Dzien,Lekarz
1,172,0,172,183,0,1,1
2,183,0,183,196,0,1,3
3,185,0,185,185,0,1,1
4,196,0,196,201,0,1,2
5,198,0,198,201,0,1,3
6,202,0,202,227,0,1,1
7,208,0,208,213,0,1,3
8,211,0,211,230,0,1,2
9,220,0,220,233,0,1,3
10,239,0,239,249,0,1,3
11,241,0,241,302,0,1,1
12,241,0,241,261,0,1,2
13,257,0,257,298,0,1,3
14,259,0,261,265,2,1,2
15,263,0,265,315,2,1,2
16,269,0,298,340,30,1,3
17,272,1,302,302,30,1,1
18,274,2,302,321,28,1,1
19,292,3,315,332,23,1,2
20,296,4,321,375,24,1,1
21,297,5,332,361,35,1,2
22,298,6,340,421,42,1,3
23,330,2,361,371,30,1,2
24,339,2,371,385,32,1,2
25,340,3,375,395,35,1,1
26,356,3,385,394,29,1,2
27,359,4,394,401,35,1,2
28,363,4,395,449,31,1,1
29,368,5,401,403,32,1,2
30,373,5,403,457,30,1,2
31,377,5,421,436,44,1,3
32,381,6,436,452,55,1,3
33,411,2,449,464,38,1,1
34,423,2,452,460,29,1,3
35,426,3,457,492,30,1,2
36,455,1,460,463,5,1,3
37,456,2,463,477,7,1,3
38,487,0,487,503,0,1,1
39,505,0,505,506,0,1,3
40,509,0,509,549,0,1,2
41,548,0,548,616,0,1,3
42,559,0,559,575,0,1,2
43,574,0,574,635,0,1,1
44,604,0,604,606,0,1,2
45,633,0,633,649,0,1,2
46,640,0,640,643,0,1,1
47,642,0,642,647,0,1,3
48,643,0,643,647,0,1,1
49,644,0,647,678,3,1,3
50,652,0,652,674,0,1,1
51,665,0,665,704,0,1,2
52,667,0,674,681,7,1,1
53,667,1,678,692,11,1,3
54,669,2,681,693,13,1,1
55,671,3,692,698,20,1,3
56,675,3,693,714,18,1,1
57,684,2,698,702,13,1,3
58,694,1,702,705,8,1,3
59,698,2,704,713,6,1,2
60,702,2,705,708,3,1,3
61,708,0,708,717,0,1,3
62,714,0,714,745,0,1,2
63,719,0,719,772,0,1,1
64,722,0,722,737,0,1,3
65,724,0,737,763,14,1,3
66,726,1,745,767,19,1,2
67,730,2,763,765,33,1,3
68,730,3,765,789,35,1,3
69,733,4,767,804,34,1,2
70,735,5,772,781,37,1,1
71,736,6,781,784,45,1,1
72,737,7,784,824,48,1,1
73,753,6,789,852,36,1,3
74,765,5,804,882,39,1,2
75,769,5,824,844,55,1,1
76,769,6,844,864,74,1,1
77,772,7,852,860,80,1,3
78,776,7,860,866,84,1,3
79,789,6,864,875,75,1,1
80,120,3,152,180,32,2,3
81,136,3,154,172,19,2,2
82,156,0,172,187,16,2,2
83,180,0,180,218,0,2,3
84,183,0,187,202,4,2,2
85,191,0,202,205,10,2,2
86,196,1,203,224,7,2,1
87,199,2,205,213,6,2,2
88,202,2,213,239,11,2,2
89,202,3,218,219,16,2,3
90,203,4,219,224,16,2,3
91,211,3,224,271,12,2,1
92,218,3,224,231,6,2,3
93,229,0,231,234,1,2,3
94,230,1,234,252,4,2,3
95,244,0,244,283,0,2,2
96,259,0,259,264,0,2,3
97,286,0,286,295,0,2,1
98,311,0,311,315,0,2,1
99,316,0,316,334,0,2,3
100,320,0,320,410,0,2,1
101,330,0,330,389,0,2,2
102,330,0,334,355,4,2,3
103,334,0,355,380,21,2,3
104,338,1,380,394,41,2,3
105,340,2,389,425,49,2,2
106,362,2,394,403,32,2,3
107,366,3,403,405,36,2,3
108,374,4,405,407,31,2,3
109,385,4,407,415,22,2,3
110,410,0,410,469,0,2,1
111,413,0,415,434,2,2,3
112,417,0,425,425,8,2,2
113,419,1,425,430,6,2,2
114,421,2,430,461,9,2,2
115,439,0,439,469,0,2,3
116,443,0,461,488,18,2,2
117,443,1,469,495,26,2,1
118,445,2,469,510,24,2,3
119,458,3,488,518,30,2,2
120,464,3,495,526,31,2,1
121,479,2,510,562,31,2,3
122,497,1,518,550,22,2,2
123,511,1,526,551,15,2,1
124,514,2,550,589,36,2,2
125,531,1,551,576,20,2,1
126,543,2,562,566,19,2,3
127,565,0,566,570,2,2,3
128,569,0,570,602,1,2,3
129,573,0,576,594,3,2,1
130,574,1,589,599,16,2,2
131,577,1,594,642,17,2,1
132,598,0,599,607,1,2,2
133,605,0,605,634,0,2,3
134,606,0,607,649,1,2,2
135,635,0,635,641,0,2,3
136,658,0,658,687,0,2,3
137,659,0,659,686,0,2,2
138,665,0,665,666,0,2,1
139,669,0,669,674,0,2,1
140,678,0,678,681,0,2,1
141,684,0,684,717,0,2,1
142,690,0,690,690,0,2,3
143,692,0,692,715,0,2,3
144,174,1,178,229,4,3,1
145,178,0,183,219,5,3,2
146,194,0,219,228,25,3,2
147,195,1,226,243,31,3,3
148,198,2,228,257,30,3,2
149,200,3,229,255,29,3,1
150,200,4,243,248,43,3,3
151,203,5,248,340,45,3,3
152,218,6,255,318,37,3,1
153,227,5,257,275,30,3,2
154,231,4,275,287,44,3,2
155,258,1,287,295,29,3,2
156,268,2,295,305,26,3,2
157,270,3,305,341,35,3,2
158,279,3,318,327,39,3,1
159,280,4,327,332,46,3,1
160,282,5,332,404,50,3,1
161,283,6,340,373,57,3,3
162,300,5,341,341,41,3,2
163,304,6,341,347,37,3,2
164,308,6,347,369,39,3,2
165,331,5,369,369,38,3,2
166,338,5,369,373,31,3,2
167,340,6,373,454,33,3,3
168,356,3,373,389,17,3,2
169,361,4,389,392,28,3,2
170,362,5,392,415,30,3,2
171,372,4,404,411,32,3,1
172,389,2,411,428,21,3,1
173,393,2,415,417,22,3,2
174,408,2,417,432,9,3,2
175,418,0,428,432,10,3,1
176,419,1,432,433,13,3,2
177,424,2,432,452,8,3,1
178,442,0,442,463,0,3,2
179,445,0,452,480,7,3,1
180,447,1,454,456,7,3,3
181,449,2,456,466,7,3,3
182,475,0,475,488,0,3,2
183,478,0,478,493,0,3,3
184,493,0,493,497,0,3,2
185,493,0,493,500,0,3,1
186,495,0,495,540,0,3,3
187,496,0,497,498,0,3,2
188,501,0,501,506,0,3,1
189,508,0,508,536,0,3,2
190,510,0,510,533,0,3,1
191,511,0,533,534,22,3,1
192,513,1,534,549,21,3,1
193,536,0,536,567,0,3,2
194,547,0,547,568,0,3,3
195,547,0,549,551,2,3,1
196,553,0,553,579,0,3,1
197,555,0,567,602,12,3,2
198,577,0,577,635,0,3,3
199,578,0,579,584,1,3,1
200,593,0,593,603,0,3,1
201,617,0,617,627,0,3,2
202,621,0,621,633,0,3,1
203,626,0,627,665,1,3,2
204,627,0,633,641,6,3,1
205,630,1,635,658,5,3,3
206,648,0,648,661,0,3,1
207,651,0,658,666,8,3,3
208,651,1,661,682,10,3,1
209,652,2,665,687,12,3,2
210,128,2,136,175,8,4,2
211,129,2,148,157,19,4,1
212,138,1,155,166,17,4,3
213,141,2,157,170,16,4,1
214,160,0,166,167,6,4,3
215,182,0,182,198,0,4,1
216,193,0,193,204,0,4,2
217,204,0,204,205,0,4,3
218,206,0,206,214,0,4,3
219,207,0,207,210,0,4,2
220,212,0,212,221,0,4,1
221,226,0,226,231,0,4,3
222,228,0,228,256,0,4,1
223,241,0,241,243,0,4,2
224,243,0,243,254,0,4,3
225,249,0,249,261,0,4,2
226,265,0,265,308,0,4,3
227,283,0,283,292,0,4,2
228,288,0,288,339,0,4,1
229,295,0,295,307,0,4,2
230,295,0,307,321,12,4,2
231,295,1,308,341,12,4,3
232,299,2,321,333,22,4,2
233,301,3,333,374,33,4,2
234,324,1,339,346,15,4,1
235,337,1,341,373,4,4,3
236,360,0,360,376,0,4,1
237,377,0,377,385,0,4,2
238,383,0,383,386,0,4,1
239,385,0,385,444,0,4,3
240,390,0,390,434,0,4,1
241,393,0,393,400,0,4,2
242,396,0,400,402,3,4,2
243,403,0,403,404,0,4,2
244,413,0,413,441,0,4,2
245,434,0,434,450,1,4,1
246,434,1,441,552,7,4,2
247,440,1,444,450,4,4,3
248,446,0,450,463,4,4,3
249,471,0,471,477,0,4,3
250,473,0,473,477,0,4,1
251,484,0,484,521,0,4,1
252,516,0,516,524,0,4,3
253,519,0,521,566,2,4,1
254,536,0,536,540,0,4,3
255,537,0,540,557,4,4,3
256,550,0,552,562,2,4,2
257,552,1,557,580,5,4,3
258,552,1,562,574,10,4,2
259,554,2,566,619,11,4,1
260,555,3,574,592,19,4,2
261,564,2,580,580,16,4,3
262,579,1,580,596,1,4,3
263,594,0,594,600,0,4,2
264,597,0,597,613,0,4,3
265,598,0,600,668,2,4,2
266,600,1,613,631,13,4,3
267,602,1,619,620,17,4,1
268,609,2,620,621,11,4,1
269,615,2,621,676,6,4,1
270,617,3,631,655,14,4,3
271,619,4,655,690,36,4,3
272,626,2,668,693,42,4,2
273,634,2,676,708,42,4,1
274,637,3,690,712,53,4,3
275,652,4,693,712,40,4,2
276,653,5,708,710,55,4,1
277,660,5,710,713,50,4,1
278,674,5,712,834,38,4,2
279,692,4,712,714,20,4,3
280,148,1,154,162,6,5,3
281,161,0,161,168,0,5,1
282,162,0,162,177,0,5,3
283,167,0,168,180,1,5,1
284,169,0,170,180,2,5,2
285,171,0,177,184,5,5,3
286,181,0,181,233,0,5,2
287,191,0,191,203,0,5,1
288,198,0,198,266,0,5,3
289,217,0,217,229,0,5,1
290,223,0,229,230,6,5,1
291,223,1,230,243,7,5,1
292,224,2,233,254,9,5,2
293,225,3,243,333,18,5,1
294,233,1,254,257,21,5,2
295,238,2,257,259,20,5,2
296,253,2,259,263,6,5,2
297,261,0,263,264,2,5,2
298,264,0,264,273,1,5,2
299,277,0,277,285,0,5,3
300,284,0,284,297,0,5,2
301,288,0,288,292,0,5,3
302,293,0,293,309,0,5,3
303,297,0,297,318,0,5,2
304,303,0,309,364,6,5,3
305,304,1,318,323,14,5,2
306,311,1,323,329,12,5,2
307,325,0,329,347,3,5,2
308,328,1,333,367,5,5,1
309,328,2,347,349,19,5,2
310,336,1,349,350,13,5,2
311,337,2,350,356,13,5,2
312,340,3,356,369,17,5,2
313,348,3,364,366,17,5,3
314,374,0,374,377,0,5,2
315,378,0,378,408,0,5,2
316,380,0,380,386,0,5,1
317,383,0,383,398,0,5,3
318,386,0,386,455,0,5,1
319,406,0,406,407,0,5,3
320,411,0,411,421,0,5,2
321,420,0,420,422,0,5,3
322,423,0,423,426,0,5,3
323,428,0,428,430,0,5,2
324,430,0,430,472,0,5,2
325,433,0,433,496,0,5,3
326,442,0,455,459,12,5,1
327,444,1,459,461,15,5,1
328,445,2,461,469,17,5,1
329,450,3,469,473,19,5,1
330,462,1,472,483,10,5,2
331,473,0,473,485,0,5,1
332,476,0,483,496,7,5,2
333,479,1,485,485,5,5,1
334,485,0,485,532,0,5,1
335,485,1,496,516,10,5,2
336,525,0,525,570,0,5,3
337,527,0,527,537,0,5,2
338,528,0,532,545,4,5,1
339,551,0,551,561,0,5,2
340,554,0,554,602,0,5,1
341,559,0,561,566,2,5,2
342,573,0,573,573,0,5,2
343,115,2,126,132,11,6,1
344,118,1,129,137,11,6,2
345,120,2,132,197,12,6,1
346,121,3,137,139,16,6,2
347,129,3,139,151,10,6,2
348,141,0,151,189,10,6,2
349,146,1,165,168,20,6,3
350,154,1,168,208,15,6,3
351,159,2,189,198,30,6,2
352,183,1,197,255,15,6,1
353,186,2,198,199,12,6,2
354,192,2,199,210,7,6,2
355,198,1,208,218,9,6,3
356,199,1,210,219,11,6,2
357,199,2,218,222,19,6,3
358,201,3,219,305,18,6,2
359,202,4,222,238,20,6,3
360,208,5,238,252,31,6,3
361,209,5,252,273,43,6,3
362,228,2,255,273,28,6,1
363,236,3,273,275,36,6,1
364,238,4,273,312,35,6,3
365,244,4,275,289,31,6,1
366,247,5,289,306,42,6,1
367,250,6,305,306,55,6,2
368,252,7,306,313,54,6,2
369,257,6,306,325,49,6,1
370,279,4,312,318,33,6,3
371,282,5,313,314,30,6,2
372,282,6,314,341,32,6,2
373,302,6,318,319,15,6,3
374,307,4,319,322,12,6,3
375,310,5,322,344,12,6,3
376,328,0,328,358,0,6,1
377,328,0,341,360,13,6,2
378,341,1,344,359,3,6,3
379,362,0,362,402,0,6,2
380,373,0,373,384,0,6,3
381,385,0,385,423,0,6,3
382,392,0,392,453,0,6,1
383,408,0,408,430,0,6,2
384,410,0,423,426,14,6,3
385,413,1,426,427,14,6,3
386,424,1,427,433,3,6,3
387,424,2,430,433,6,6,2
388,430,1,433,467,3,6,3
389,430,2,433,435,3,6,2
390,433,2,435,470,2,6,2
391,446,0,453,454,7,6,1
392,458,0,458,468,0,6,1
393,459,0,467,481,8,6,3
394,469,0,469,501,0,6,1
395,497,0,497,523,0,6,2
396,508,0,508,559,0,6,1
397,519,0,519,560,0,6,3
398,522,0,523,542,1,6,2
399,533,0,542,558,10,6,2
400,542,1,558,565,16,6,2
401,566,0,566,615,0,6,1
402,566,0,566,623,0,6,2
403,572,0,572,577,0,6,3
404,572,0,577,587,5,6,3
405,580,0,587,630,7,6,3
406,589,0,615,636,27,6,1
407,614,1,623,662,9,6,2
408,624,0,630,646,6,6,3
409,625,1,636,648,11,6,1
410,626,2,646,654,20,6,3
411,628,3,648,669,19,6,1
412,172,4,191,199,19,7,2
413,177,4,194,202,17,7,1
414,183,4,199,203,16,7,2
415,188,3,202,231,13,7,1
416,191,4,203,235,13,7,2
417,194,3,205,210,11,7,3
418,196,4,210,238,14,7,3
419,203,3,231,237,28,7,1
420,209,2,235,236,26,7,2
421,212,2,236,256,24,7,2
422,222,3,237,283,15,7,1
423,223,4,238,242,15,7,3
424,227,5,242,250,14,7,3
425,227,6,250,284,22,7,3
426,228,7,256,272,28,7,2
427,253,1,272,276,19,7,2
428,255,2,276,281,21,7,2
429,269,2,281,316,12,7,2
430,288,0,288,302,0,7,1
431,299,0,299,302,0,7,3
432,321,0,321,329,0,7,2
433,325,0,325,359,0,7,1
434,329,0,329,338,0,7,3
435,330,0,330,340,0,7,2
436,341,0,341,354,0,7,2
437,350,0,350,381,0,7,3
438,352,0,354,392,2,7,2
439,358,0,359,363,2,7,1
440,371,0,371,378,0,7,1
441,375,0,378,399,3,7,1
442,380,0,381,383,1,7,3
443,395,0,395,417,0,7,2
444,402,0,402,487,0,7,1
445,423,0,423,433,0,7,2
446,429,0,429,436,0,7,3
447,431,0,433,433,2,7,2
448,432,1,433,447,2,7,2
449,434,0,436,476,3,7,3
450,434,1,447,471,13,7,2
451,437,1,471,486,34,7,2
452,442,2,476,509,34,7,3
453,447,2,486,500,40,7,2
454,459,3,487,498,28,7,1
455,461,4,498,501,38,7,1
456,463,5,500,536,37,7,2
457,468,6,501,513,33,7,1
458,470,7,509,523,39,7,3
459,479,6,513,536,34,7,1
460,481,7,523,546,41,7,3
461,489,6,536,610,46,7,2
462,501,5,536,542,35,7,1
463,510,4,542,575,31,7,1
464,525,3,546,557,21,7,3
465,539,2,557,600,17,7,3
466,542,3,575,582,34,7,1
467,549,2,582,615,33,7,1
468,553,3,600,613,48,7,3
469,562,3,610,615,48,7,2
470,568,4,613,634,44,7,3
471,571,5,615,638,44,7,2
472,588,4,615,617,27,7,1
473,591,5,617,637,26,7,1
474,594,6,634,678,41,7,3
475,596,7,637,640,41,7,1
476,603,7,638,654,35,7,2
477,616,4,640,669,25,7,1
478,627,4,654,658,26,7,2
479,628,5,658,707,30,7,2
480,637,5,669,678,32,7,1
481,664,1,678,679,13,7,3
482,669,1,678,719,9,7,1
483,674,2,679,681,5,7,3
484,679,0,681,731,2,7,3
485,690,0,707,711,17,7,2
486,698,1,711,722,13,7,2
487,707,1,719,725,11,7,1
488,715,1,722,725,8,7,2
489,729,0,729,741,0,7,2
490,752,0,752,785,0,7,3
491,755,0,755,812,0,7,2
492,133,0,139,190,6,8,3
493,135,1,139,156,4,8,2
494,137,2,156,160,19,8,2
495,143,1,160,186,17,8,2
496,144,2,165,169,21,8,1
497,163,1,169,171,6,8,1
498,163,2,171,177,8,8,1
499,163,3,177,202,14,8,1
500,166,3,186,195,20,8,2
501,180,1,190,198,10,8,3
502,213,0,213,222,0,8,1
503,215,0,215,239,0,8,2
504,217,0,217,247,0,8,3
505,234,0,234,235,0,8,1
506,237,0,237,246,0,8,1
507,243,0,243,271,0,8,2
508,252,0,252,290,0,8,1
509,255,0,255,315,0,8,3
510,260,0,271,291,10,8,2
511,262,1,290,339,29,8,1
512,276,1,291,292,14,8,2
513,277,2,292,297,15,8,2
514,284,3,297,302,13,8,2
515,294,1,302,316,8,8,2
516,299,1,315,346,15,8,3
517,300,2,316,317,16,8,2
518,302,2,317,322,15,8,2
519,305,3,322,333,18,8,2
520,308,4,333,352,25,8,2
521,321,2,339,339,18,8,1
522,338,1,339,395,1,8,1
523,339,2,346,376,7,8,3
524,342,1,352,370,10,8,2
525,363,0,370,374,7,8,2
526,364,1,374,387,11,8,2
527,374,1,376,418,2,8,3
528,375,1,387,419,12,8,2
529,379,1,395,395,16,8,1
530,379,2,395,423,16,8,1
531,380,3,418,448,38,8,3
532,398,1,419,428,22,8,2
533,406,2,423,428,17,8,1
534,412,3,428,471,16,8,1
535,414,4,428,500,14,8,2
536,419,4,448,461,29,8,3
537,419,5,461,468,42,8,3
538,421,5,468,469,47,8,3
539,435,3,469,502,34,8,3
540,438,4,471,480,33,8,1
541,439,5,480,481,41,8,1
542,445,6,481,597,36,8,1
543,460,6,500,511,40,8,2
544,472,3,502,589,30,8,3
545,482,2,511,521,30,8,2
546,488,3,521,570,33,8,2
547,491,4,570,687,79,8,2
548,493,5,589,600,95,8,3
549,520,3,597,601,78,8,1
550,525,3,600,606,75,8,3
551,531,4,601,610,70,8,1
552,544,5,606,611,63,8,3
553,547,6,610,628,63,8,1
554,547,7,611,629,64,8,3
555,555,8,628,636,73,8,1
556,560,9,629,635,69,8,3
557,560,10,635,641,75,8,3
558,578,10,636,647,58,8,1
559,592,10,641,648,49,8,3
560,596,11,647,679,51,8,1
561,608,8,648,669,40,8,3
562,123,0,123,178,0,9,3
563,127,0,127,129,0,9,2
564,133,0,133,147,0,9,2
565,134,0,147,154,13,9,2
566,136,1,152,163,16,9,1
567,138,2,154,161,17,9,2
568,138,3,161,180,23,9,2
569,146,4,163,165,17,9,1
570,154,3,165,170,11,9,1
571,166,0,170,174,5,9,1
572,167,1,174,194,7,9,1
573,168,2,178,184,10,9,3
574,171,2,180,244,9,9,2
575,172,3,184,192,12,9,3
576,173,4,192,196,18,9,3
577,178,3,194,199,15,9,1
578,200,0,200,216,0,9,1
579,205,0,205,218,0,9,3
580,222,0,222,225,0,9,1
581,223,0,223,230,0,9,3
582,247,0,247,258,0,9,1
583,252,0,252,254,0,9,2
584,270,0,270,271,0,9,1
585,276,0,276,288,0,9,3
586,283,0,283,284,0,9,2
587,289,0,289,330,0,9,3
588,309,0,309,331,0,9,2
589,309,0,309,322,0,9,1
590,310,0,322,343,13,9,1
591,318,1,330,330,11,9,3
592,319,2,330,338,10,9,3
593,322,3,331,345,9,9,2
594,326,3,338,343,12,9,3
595,332,1,343,348,11,9,3
596,339,1,343,353,4,9,1
597,341,2,345,347,4,9,2
598,343,2,347,350,4,9,2
599,345,1,348,400,2,9,3
600,359,0,359,371,0,9,1
601,362,0,362,363,0,9,2
602,365,0,365,366,0,9,2
603,365,0,366,393,1,9,2
604,367,0,371,373,4,9,1
605,387,0,387,449,0,9,1
606,394,0,394,439,0,9,2
607,407,0,407,435,0,9,3
608,418,0,435,439,17,9,3
609,421,1,439,445,18,9,2
610,439,0,439,458,0,9,3
611,447,0,447,460,0,9,2
612,462,0,462,477,0,9,3
613,466,0,466,473,0,9,1
614,469,0,469,470,0,9,2
615,476,0,476,477,0,9,1
616,482,0,482,547,0,9,1
617,498,0,498,519,0,9,2
618,508,0,508,516,0,9,3
619,511,0,516,560,5,9,3
620,528,0,528,534,0,9,2
621,535,0,535,556,0,9,2
622,538,0,547,578,9,9,1
623,539,1,556,560,17,9,2
624,540,2,560,568,20,9,3
625,542,3,560,561,19,9,2
626,545,4,561,571,16,9,2
627,550,4,568,571,18,9,3
628,550,5,571,606,20,9,2
629,554,6,571,573,17,9,3
630,555,7,573,608,18,9,3
631,557,7,578,583,21,9,1
632,560,7,583,597,23,9,1
633,570,5,597,605,27,9,1
634,580,2,605,607,25,9,1
635,596,2,606,622,10,9,2
636,208,0,208,211,0,10,3
637,212,0,212,214,0,10,1
638,225,0,225,230,0,10,1
639,226,0,226,266,0,10,3
640,227,0,230,241,3,10,1
641,232,0,232,240,0,10,2
642,240,0,240,260,0,10,2
643,240,0,241,254,0,10,1
644,256,0,256,305,0,10,1
645,274,0,274,289,0,10,2
646,277,0,277,303,0,10,3
647,297,0,297,299,0,10,2
648,307,0,307,333,0,10,2
649,314,0,314,316,0,10,3
650,315,0,315,357,0,10,1
651,325,0,325,330,0,10,3
652,331,0,331,352,0,10,3
653,339,0,339,352,0,10,2
654,364,0,364,377,0,10,1
655,364,0,364,386,0,10,2
656,364,0,364,387,0,10,3
657,389,0,389,392,0,10,1
658,393,0,393,394,0,10,1
659,397,0,397,416,0,10,3
660,415,0,415,428,0,10,2
661,419,0,419,421,0,10,3
662,421,0,421,424,0,10,3
663,432,0,432,437,0,10,1
664,433,0,433,476,0,10,3
665,453,0,453,454,0,10,2
666,454,0,454,498,0,10,1
667,463,0,463,481,0,10,2
668,466,0,476,547,10,10,3
669,468,1,481,496,14,10,2
670,488,0,496,497,8,10,2
671,489,1,497,503,8,10,2
672,492,2,498,514,7,10,1
673,496,3,503,509,7,10,2
674,499,1,509,509,11,10,2
675,499,2,509,529,11,10,2
676,505,2,514,519,9,10,1
677,513,1,519,540,6,10,1
678,517,1,529,531,12,10,2
679,517,2,531,532,14,10,2
680,526,2,532,604,6,10,2
681,537,0,540,597,3,10,1
682,567,0,567,598,0,10,3
683,588,0,597,602,10,10,1
684,589,1,598,636,9,10,3
685,606,0,606,611,0,10,2
686,609,0,609,658,0,10,1
687,612,0,612,618,0,10,2
688,621,0,621,630,0,10,2
689,629,0,630,661,1,10,2
690,636,0,636,663,0,10,3
691,645,0,658,662,13,10,1
692,648,1,661,690,13,10,2
693,651,2,662,682,11,10,1
694,655,3,663,666,7,10,3
695,671,0,671,678,0,10,3
696,672,0,678,710,6,10,3
697,683,0,683,760,0,10,1
698,683,0,690,724,7,10,2
699,692,0,710,714,18,10,3
700,699,1,714,724,15,10,3
701,160,2,187,194,27,11,3
702,160,3,187,205,27,11,2
703,168,3,194,260,26,11,1
704,171,4,194,234,23,11,3
705,175,4,205,284,30,11,2
706,182,5,234,267,51,11,3
707,198,2,260,265,62,11,1
708,201,3,265,266,64,11,1
709,203,4,266,315,63,11,1
710,206,4,267,335,61,11,3
711,211,5,284,306,73,11,2
712,219,6,306,320,86,11,2
713,220,7,315,333,95,11,1
714,226,8,320,320,94,11,2
715,229,9,320,355,92,11,2
716,229,10,333,366,104,11,1
717,240,10,335,369,95,11,3
718,256,11,355,371,99,11,2
719,256,12,366,368,110,11,1
720,260,13,368,379,108,11,1
721,263,13,369,397,106,11,3
722,266,12,371,383,105,11,2
723,274,12,379,395,105,11,1
724,281,13,383,388,101,11,2
725,283,14,388,412,105,11,2
726,286,14,395,402,109,11,1
727,286,15,397,406,111,11,3
728,286,16,402,427,115,11,1
729,299,17,406,453,107,11,3
730,308,17,412,426,104,11,2
731,309,18,426,428,117,11,2
732,320,18,427,431,107,11,1
733,321,17,428,515,107,11,2
734,346,16,431,440,85,11,1
735,374,12,440,444,66,11,1
736,389,10,444,483,55,11,1
737,396,10,453,476,57,11,3
738,397,10,476,495,78,11,3
739,400,11,483,484,82,11,1
740,410,10,484,528,74,11,1
741,411,11,495,578,85,11,3
742,427,10,515,535,88,11,2
743,428,10,528,535,100,11,1
744,428,10,535,575,107,11,2
745,441,9,535,562,95,11,1
746,458,8,562,564,103,11,1
747,460,9,564,566,104,11,1
748,490,7,566,623,76,11,1
749,513,7,575,582,62,11,2
750,513,8,578,591,65,11,3
751,514,9,582,610,68,11,2
752,525,9,591,608,66,11,3
753,528,10,608,641,80,11,3
754,529,10,610,617,81,11,2
755,535,11,617,644,82,11,2
756,537,10,623,633,87,11,1
757,538,11,633,664,95,11,1
758,540,12,641,644,101,11,3
759,547,13,644,678,97,11,3
760,552,14,644,654,92,11,2
761,563,14,654,671,91,11,2
762,565,14,664,714,99,11,1
763,586,11,671,699,85,11,2
764,258,0,258,272,0,12,3
765,260,0,260,320,0,12,1
766,262,0,272,280,10,12,3
767,263,1,280,291,17,12,3
768,273,1,283,322,11,12,2
769,284,0,291,292,7,12,3
770,292,0,292,293,0,12,3
771,296,0,296,299,0,12,3
772,306,0,306,354,0,12,3
773,315,0,320,366,5,12,1
774,318,1,322,351,4,12,2
775,322,0,351,362,29,12,2
776,359,0,359,370,0,12,3
777,363,0,363,369,0,12,2
778,373,0,373,385,0,12,2
779,400,0,400,412,0,12,2
780,413,0,413,472,0,12,1
781,417,0,417,424,0,12,2
782,426,0,426,427,0,12,3
783,434,0,434,457,0,12,2
784,446,0,446,464,0,12,3
785,448,0,457,466,10,12,2
786,448,1,464,481,16,12,3
787,450,2,466,511,15,12,2
788,455,3,472,477,17,12,1
789,456,4,477,489,21,12,1
790,467,2,481,492,14,12,3
791,471,3,489,501,18,12,1
792,473,3,492,499,19,12,3
793,477,3,499,501,22,12,3
794,488,3,501,508,13,12,1
795,495,2,501,514,7,12,3
796,495,3,508,540,13,12,1
797,498,4,511,540,13,12,2
798,507,2,514,521,7,12,3
799,514,0,521,525,7,12,3
800,523,0,525,535,3,12,3
801,536,0,536,554,0,12,3
802,537,0,540,543,3,12,1
803,559,0,559,576,0,12,1
804,566,0,566,574,0,12,3
805,591,0,591,593,0,12,2
806,600,0,600,629,0,12,2
807,601,0,601,607,0,12,3
808,646,0,646,688,0,12,3
809,648,0,648,656,0,12,2
810,649,0,649,653,0,12,1
811,650,0,653,654,4,12,1
812,658,0,658,731,0,12,2
813,663,0,663,702,0,12,1
814,665,0,688,689,23,12,3
815,681,1,689,785,8,12,3
816,683,2,702,745,19,12,1
817,686,3,731,734,45,12,2
818,687,4,734,735,47,12,2
819,696,3,735,737,38,12,2
820,697,4,737,750,41,12,2
821,713,4,745,764,31,12,1
822,733,4,750,791,17,12,2
823,751,0,764,800,12,12,1
824,182,0,182,184,0,13,3
825,188,0,188,191,0,13,3
826,200,0,200,208,0,13,1
827,208,0,208,219,0,13,3
828,211,0,211,212,0,13,1
829,219,0,219,238,0,13,3
830,223,0,223,276,0,13,1
831,224,0,238,239,13,13,3
832,230,1,239,279,9,13,3
833,234,2,265,270,32,13,2
834,234,3,270,280,36,13,2
835,237,4,276,284,39,13,1
836,248,3,279,294,31,13,3
837,251,4,280,320,29,13,2
838,259,5,284,319,25,13,1
839,260,6,294,324,34,13,3
840,262,7,319,341,57,13,1
841,274,6,320,352,47,13,2
842,275,7,324,328,50,13,3
843,284,5,328,338,45,13,3
844,291,5,338,343,47,13,3
845,293,6,341,349,49,13,1
846,305,6,343,365,38,13,3
847,309,7,349,350,40,13,1
848,318,8,350,386,31,13,1
849,325,6,352,377,27,13,2
850,338,6,365,369,27,13,3
851,338,7,369,379,31,13,3
852,340,7,377,378,36,13,2
853,341,7,378,410,36,13,2
854,347,7,379,390,32,13,3
855,360,5,386,387,26,13,1
856,365,6,387,428,22,13,1
857,374,5,390,408,15,13,3
858,389,1,408,415,20,13,3
859,393,1,410,438,17,13,2
860,412,0,415,416,3,13,3
861,415,1,416,422,1,13,3
862,429,0,429,436,0,13,1
863,429,0,429,439,0,13,3
864,464,0,464,467,0,13,1
865,476,0,476,487,0,13,1
866,479,0,479,489,0,13,2
867,479,0,479,535,0,13,3
868,482,0,487,493,5,13,1
869,493,0,493,496,0,13,2
